campaign_id,adgroup_id,criterion_id,date,position,match_type,clicks,conversions
70946273,3913343273,18422920519,2014-09-27,1.8,Exact,8,0
70946033,2200048313,47868483385,2014-09-27,2.1,Broad,1,0
70945673,6317380433,32611101225,2014-09-27,1.3,Exact,2,0
70946033,2200013873,66425140,2014-09-27,2.4,Exact,5,0
70946033,3913343033,9010461917,2014-09-27,1.3,Exact,1,0
70946153,2200091033,66882167,2014-09-27,4.1,Exact,1,0
70946153,2200091033,120778900,2014-09-27,2.7,Phrase,3,0
70945673,6317380073,37760575785,2014-09-27,1.7,Phrase,1,0
70946273,3667763993,22895574009,2014-09-27,1.6,Broad,1,0
70946033,2200013873,19130406607,2014-09-27,2.7,Broad,2,0
70946033,3074336153,31156258433,2014-09-27,1.8,Exact,1,0
70946033,3913342913,9010463087,2014-09-27,1.7,Exact,1,0
70949633,3913353113,22317926839,2014-09-27,2.6,Broad,1,0
70949633,3913353353,20628574938,2014-09-27,1.3,Exact,1,0
70949633,3913353353,14845195871,2014-09-27,2,Phrase,1,0
70949633,3913353113,2151991393,2014-09-27,2.1,Phrase,3,0
70949633,3913353233,3909425031,2014-09-27,2.1,Exact,2,0
70949633,3913353233,52871581193,2014-09-27,2.2,Broad,1,0
70949633,3913353353,43474950833,2014-09-27,2,Broad,2,0
70949633,3913353353,43474950593,2014-09-27,2,Broad,1,0
70949633,3913353233,11719514662,2014-09-27,3.4,Phrase,1,0
70949633,3913353233,1101958408,2014-09-27,3.2,Phrase,2,0
70949753,3913353473,3909585711,2014-09-27,1,Exact,1,0
70949753,4959582233,14216286168,2014-09-27,1,Exact,1,0
70949753,7574022233,508932806,2014-09-27,2.2,Phrase,2,0
70949753,2200033673,96907642,2014-09-27,2,Phrase,10,0
70949753,4822145513,19572602049,2014-09-27,2.9,Broad,1,0
70949753,2200020113,14216055048,2014-09-27,1.8,Exact,1,0
70949753,4883519873,22235020759,2014-09-27,4.6,Broad,1,0
70949753,2200020113,25013283282,2014-09-27,2.8,Broad,1,0
70949753,2200020113,25013283162,2014-09-27,1.8,Broad,1,0
70949753,4883519873,39741210,2014-09-27,1,Exact,1,0
70949753,2200033673,25046200,2014-09-27,3,Exact,4,1
70944833,2199996713,43473732353,2014-09-27,1.5,Broad,1,0
70944833,3913341473,9034650677,2014-09-27,1.5,Exact,1,0
70944833,2199998153,168643060,2014-09-27,1.3,Exact,22,0
70944833,2199998153,18990813611,2014-09-27,1.9,Broad,9,1
70944593,2200013273,2553966381,2014-09-27,3.6,Exact,3,0
70944593,2200004633,28606073153,2014-09-27,2.5,Exact,2,0
70944833,2199998153,111630900,2014-09-27,2.7,Phrase,1,0
70944833,2199996713,1169506665,2014-09-27,1.7,Phrase,1,0
70944593,2200004633,28606010393,2014-09-27,2.3,Exact,3,0
70951313,6268978313,23489566703,2014-09-27,2,Broad,1,0
70951313,6268979633,30878268106,2014-09-27,4,Broad,1,0
70951313,6268988033,6095269994,2014-09-27,2,Exact,1,0
70951313,6268981673,1804099478,2014-09-27,2.1,Exact,1,0
70951313,6268981073,23436612743,2014-09-27,1.8,Broad,2,0
70951313,6268980233,5189141750,2014-09-27,2,Phrase,1,0
70951313,6268988753,7127138426,2014-09-27,1,Phrase,1,0
85810193,5948257553,3303258366,2014-09-27,1,Exact,1,0
85957913,2816855753,36392016916,2014-09-27,2,Broad,2,0
85957913,2816855753,61787492633,2014-09-27,2.3,Broad,1,0
85810193,2775247913,62156752433,2014-09-27,1,Broad,1,0
85957913,2816855753,30498839993,2014-09-27,2,Phrase,1,0
85957913,2816855753,61787507633,2014-09-27,3.7,Broad,1,0
85957913,2816856353,19694293809,2014-09-27,2.4,Broad,2,0
85957913,2816856233,68923027,2014-09-27,4,Phrase,25,0
85957913,2816856353,160793299,2014-09-27,1.7,Exact,2,0
85810193,5948257553,50248579433,2014-09-27,1.7,Broad,3,0
85810193,2775247433,50317860063,2014-09-27,1.8,Broad,1,0
85810193,5948257553,2129574253,2014-09-27,3,Phrase,1,0
85810193,5948257553,2713215784,2014-09-27,2.2,Exact,2,0
85810193,2775246593,62156464193,2014-09-27,2.5,Broad,1,0
70949633,6266452073,17368039069,2014-09-27,2,Phrase,1,0
70949633,6266453513,16245529823,2014-09-27,2.3,Exact,1,0
70949633,6266453513,23707696275,2014-09-27,2.5,Exact,1,0
70947473,3016108193,28078170345,2014-09-27,3.2,Broad,42,2
70947473,3667768433,28561603185,2014-09-27,2.9,Broad,2,0
70947473,3890794553,23206460906,2014-09-27,3.1,Broad,2,0
70947473,2986190633,34380763106,2014-09-27,1.8,Broad,2,0
70947473,3667768433,24939724362,2014-09-27,2.2,Broad,5,0
70947473,3016108193,2205187440,2014-09-27,2.8,Phrase,29,0
70947473,3667769033,3280447890,2014-09-27,2.8,Exact,1,0
70947473,3890794313,132876613,2014-09-27,6.5,Exact,1,0
70947473,3890794313,19570268889,2014-09-27,2.8,Broad,4,0
70947473,3667768433,1595699476,2014-09-27,3.5,Exact,1,0
70947473,3890794553,37806327705,2014-09-27,2.5,Broad,1,0
70947473,3667768433,13969343021,2014-09-27,2,Exact,2,0
70947473,3667768433,6420842744,2014-09-27,1,Exact,1,0
70947473,3890794553,14249168411,2014-09-27,3,Exact,4,1
70947473,3890794793,14648227668,2014-09-27,1.7,Exact,1,0
70947473,3890794313,2033719072,2014-09-27,1.6,Phrase,1,0
